"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";2;2007;"0";"0";"0.39717522148814";"0.777322529203308";"0.885237211767824"
"east midlands";"MMR";2;2008;"0.0039";"0";"0.40066869186768";"0.794350442976281";"0.900304064400403"
"east midlands";"MMR";2;2009;"0.0008";"0.0052";"0.40795";"0.80133738373536";"0.920025993718185"
"east of england";"MMR";1;2005;"0.691125";"0.907";"0.9126534645338";"0.925631234685189";"0.940180534119078"
"east of england";"MMR";1;2006;"0.696";"0.9215";"0.919306544892252";"0.917615603010433";"0.926291805294943"
"east of england";"MMR";1;2007;"0.667125";"0.928";"0.931405826134005";"0.923621161979709";"0.918803348922393"
"east of england";"MMR";1;2008;"0.692925";"0.8895";"0.93974768925416";"0.934878762451823";"0.924653916069792"
"east of england";"MMR";1;2009;"0.69795";"0.9239";"0.936";"0.9438663741684";"0.935710050400237"
"east of england";"MMR";2;2005;"0";"0";"0.368113364620466";"0.744252610416437";"0.880353273155294"
"east of england";"MMR";2;2006;"0";"0";"0.370137626431335";"0.736226729240933";"0.878277803182012"
"east of england";"MMR";2;2007;"0";"0";"0.377304033501334";"0.74027525286267";"0.868806619354417"
"east of england";"MMR";2;2008;"0.0019";"0";"0.38847420085622";"0.754608067002668";"0.873584202103693"
"east of england";"MMR";2;2009;"0.0017";"0.0025";"0.3755";"0.77694840171244";"0.890498072932108"
"london";"MMR";1;2005;"0.650625";"0.857";"0.868317226544881";"0.885625489659119";"0.89738532259642"
"london";"MMR";1;2006;"0.655875";"0.8675";"0.870063814216409";"0.876311849909788";"0.887451974168233"
"london";"MMR";1;2007;"0.5904";"0.8745";"0.891407339775656";"0.875765565740496";"0.8783899977447"
"london";"MMR";1;2008;"0.65355";"0.7872";"0.90968340132904";"0.901841789373958";"0.877247697173603"
"london";"MMR";1;2009;"0.65445";"0.8714";"0.8454";"0.92503933098536";"0.904554153403062"
"london";"MMR";2;2005;"0";"0";"0.285655881751804";"0.571250690754517";"0.786109390451972"
"london";"MMR";2;2006;"0";"0";"0.281481896963362";"0.571311763503608";"0.758129649309246"
"london";"MMR";2;2007;"0.0106";"0";"0.307057032315825";"0.562963793926723";"0.758210701398286"
"london";"MMR";2;2008;"0.097";"0.0142";"0.324381928391125";"0.614114064631651";"0.747131776943229"
"london";"MMR";2;2009;"0.0676";"0.1294";"0.29065";"0.64876385678225";"0.815015347885402"
"north east";"MMR";1;2005;"0.702";"0.926";"0.920454097920523";"0.951323155806524";"0.961979427101936"
"north east";"MMR";1;2006;"0.708";"0.936";"0.92979494924357";"0.937945923327541";"0.956563165564399"
"north east";"MMR";1;2007;"0.698475";"0.944";"0.939532301637158";"0.952265629425114";"0.942261927246629"
"north east";"MMR";1;2008;"0.70065";"0.9313";"0.94716646378531";"0.960447790962293";"0.957810136157337"
"north east";"MMR";1;2009;"0.71175";"0.9342";"0.9339";"0.96591575144619";"0.965608563597304"
"north east";"MMR";2;2005;"0";"0";"0.437010520152608";"0.873910884429997";"0.902064433173798"
"north east";"MMR";2;2006;"0";"0";"0.442862670196672";"0.874021040305217";"0.900011209505661"
"north east";"MMR";2;2007;"0";"0";"0.449444458848804";"0.885725340393343";"0.900124655309183"
"north east";"MMR";2;2008;"0.0006";"0";"0.45881188852075";"0.898888917697607";"0.912178517397882"
"north east";"MMR";2;2009;"0";"0.0007";"0.42395";"0.9176237770415";"0.925735239647381"
