"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine"
"west midlands";2;2016;"0";"0.650164835164835";"0.883060986285381";"0.933030646992055";"0.944321846885079";"MMR"
"west midlands";2;2017;"0";"0.653874554020099";"0.866886446886447";"0.928377645143787";"0.936182019977802";"MMR"
"west midlands";2;2018;"0";"0.652295659406348";"0.871832738693465";"0.917907538785375";"0.930995291443416";"MMR"
"west midlands";2;2019;"0";"0.650632041571871";"0.869727545875131";"0.923144947392928";"0.925185370324086";"MMR"
"east of england";1;2015;"0.714428269546842";"0.963623223319682";"0.97744161358811";"0.979880986115047";"0.985537812594155";"MMR"
"east of england";1;2016;"0.7268174245125";"0.952571026062456";"0.97112657901521";"0.981534090909091";"0.982153480071386";"MMR"
"east of england";1;2017;"0.7213538188125";"0.96908989935";"0.966819806023481";"0.976464148877942";"0.981640509327806";"MMR"
"east of england";1;2018;"0.7173723719625";"0.96180509175";"0.975439952246775";"0.969465648854962";"0.978877314814815";"MMR"
"east of england";1;2019;"0.7188801464625";"0.95649649595";"0.971851694212555";"0.976647028113975";"0.974805038992202";"MMR"
"east of england";2;2015;"0";"0.667053364269142";"0.893842887473461";"0.939926324737886";"0.94215125037662";"MMR"
"east of england";2;2016;"0";"0.655819295558959";"0.889404485692189";"0.946875";"0.944080904223676";"MMR"
"east of england";2;2017;"0";"0.667005055270806";"0.874425727411945";"0.933497536945813";"0.948474977790939";"MMR"
"east of england";2;2018;"0";"0.670714494781948";"0.889340073694409";"0.922300981461287";"0.9375";"MMR"
"east of england";2;2019;"0";"0.666619173986236";"0.894285993042597";"0.938031895800784";"0.930713857228554";"MMR"
"london";1;2015;"0.674729455947028";"0.912392837214021";"0.945892483127764";"0.959449173067608";"0.968499025341131";"MMR"
"london";1;2016;"0.693950024625";"0.899639274596037";"0.940761555224223";"0.955985005170631";"0.964264173703257";"MMR"
"london";1;2017;"0.69428413185";"0.9252666995";"0.933191940615058";"0.949305820914533";"0.96044481981982";"MMR"
"london";1;2018;"0.686226801675";"0.9257121758";"0.9417229484435";"0.941454026199789";"0.953205039457289";"MMR"
"london";1;2019;"0.688433561625";"0.9149690689";"0.9384119509625";"0.94578692644346";"0.948315832537843";"MMR"
"london";2;2015;"0";"0.483254960431242";"0.652431929252967";"0.750051899522524";"0.781910331384016";"MMR"
"london";2;2016;"0";"0.484358430540827";"0.644339947241656";"0.726990692864529";"0.763193606755127";"MMR"
"london";2;2017;"0";"0.575970694776375";"0.645811240721103";"0.719908291937333";"0.736134572072072";"MMR"
"london";2;2018;"0";"0.57004485987594";"0.7679609263685";"0.720680449494009";"0.727952374359684";"MMR"
"london";2;2019;"0";"0.567201067781658";"0.76005981316792";"0.856991007141819";"0.728214918859948";"MMR"
"south east";1;2015;"0.716954960835509";"0.956842923794712";"0.970842956120092";"0.974765407050469";"0.977932556375422";"MMR"
"south east";1;2016;"0.7155292183875";"0.955939947780679";"0.969640607187856";"0.978418604651163";"0.976879385232209";"MMR"
"south east";1;2017;"0.718267936275";"0.95403895785";"0.967985378220624";"0.97686045766297";"0.981380711991084";"MMR"
"south east";1;2018;"0.7177829428125";"0.9576905817";"0.96574067817575";"0.974004669064294";"0.979281298824808";"MMR"
"south east";1;2019;"0.7226836778625";"0.95704392375";"0.968084203408015";"0.97154199943975";"0.977674979887369";"MMR"
"south east";2;2015;"0";"0.656176876462471";"0.877309468822171";"0.923662186152676";"0.933590786842287";"MMR"
"south east";2;2016;"0";"0.659395082837097";"0.874902501949961";"0.930356589147287";"0.929101236217842";"MMR"
"south east";2;2017;"0";"0.665134515194758";"0.879193443782796";"0.925389398115505";"0.93463580934898";"MMR"
"south east";2;2018;"0";"0.666726116618357";"0.886846020259677";"0.932046185879235";"0.93057536852116";"MMR"
"south east";2;2019;"0";"0.662041039078466";"0.888968155491143";"0.940158797236683";"0.937181550013408";"MMR"
"south west";1;2015;"0.714004039626815";"0.950630773815437";"0.960152203783955";"0.973019916628069";"0.977957942741323";"MMR"
"south west";1;2016;"0.7239401085375";"0.952005386169087";"0.95971361402009";"0.97119249665029";"0.976606060606061";"MMR"
"south west";1;2017;"0.72487094025";"0.96525347805";"0.962421496962833";"0.969051127990024";"0.974587188195339";"MMR"
"south west";1;2018;"0.7238032553625";"0.966494587";"0.97243513752408";"0.971955393618196";"0.972342472342472";"MMR"
"south west";1;2019;"0.7248828916875";"0.96507100715";"0.97242337127804";"0.97906269769212";"0.97609184518878";"MMR"
"south west";2;2015;"0";"0.644288309467835";"0.865659021245112";"0.92577582213988";"0.93400050671396";"MMR"
"south west";2;2016;"0";"0.657726757953259";"0.859051079290447";"0.915475658776239";"0.929212121212121";"MMR"
"south west";2;2017;"0";"0.67515772824318";"0.876969010604345";"0.917809772134679";"0.920014053167818";"MMR"
"south west";2;2018;"0";"0.674074087845435";"0.90021030432424";"0.929557248537043";"0.921476671476671";"MMR"
"south west";2;2019;"0";"0.67180574933485";"0.89876545046058";"0.954192227403422";"0.933009823647769";"MMR"
"east midlands";1;2005;"0.7035";"0.9315";"0.940124004602077";"0.954177916967733";"0.965593868086568";"MMR"
"east midlands";1;2006;"0.704625";"0.938";"0.945368418786367";"0.949215346685782";"0.955738759930762";"MMR"
"east midlands";1;2007;"0.700275";"0.9395";"0.949042484739521";"0.955355942026513";"0.95089511601571";"MMR"
"east midlands";1;2008;"0.70185";"0.9337";"0.95143990071186";"0.956994874601971";"0.957201295008094";"MMR"
"east midlands";1;2009;"0.696375";"0.9358";"0.963";"0.96003857642837";"0.958464204483916";"MMR"
"east midlands";1;2010;"0.709875";"0.9285";"0.9567";"0.9841";"0.96162731785";"MMR"
"east midlands";1;2011;"0.720225";"0.9465";"0.9582";"0.9684";"0.988";"MMR"
"east midlands";1;2012;"0.725175";"0.9603";"0.9672";"0.9737";"0.9764";"MMR"
"east midlands";1;2013;"0.722625";"0.9669";"0.9793";"0.9741";"0.981";"MMR"
"east midlands";1;2014;"0.720675";"0.9635";"0.9788";"0.9879";"0.9816";"MMR"
"east midlands";2;2005;"0";"0";"0.38215690432017";"0.771880979539301";"0.896094555135692";"MMR"
"east midlands";2;2006;"0";"0";"0.388661264601654";"0.764313808640339";"0.894001597798589";"MMR"
"east midlands";2;2007;"0";"0";"0.39717522148814";"0.777322529203308";"0.885237211767824";"MMR"
"east midlands";2;2008;"0.0039";"0";"0.40066869186768";"0.794350442976281";"0.900304064400403";"MMR"
"east midlands";2;2009;"0.0008";"0.0052";"0.40795";"0.80133738373536";"0.920025993718185";"MMR"
"east midlands";2;2010;"0.0004";"0.0011";"0.38275";"0.8159";"0.9281183504";"MMR"
"east midlands";2;2011;"0.0004";"0.0006";"0.3935";"0.7655";"0.945";"MMR"
"east midlands";2;2012;"0.0031";"0.0005";"0.40975";"0.787";"0.9264";"MMR"
"east midlands";2;2013;"0.002";"0.0041";"0.40765";"0.8195";"0.9438";"MMR"
"east midlands";2;2014;"0.0013";"0.0027";"0.40815";"0.8153";"0.9407";"MMR"
"east of england";1;2005;"0.691125";"0.907";"0.9126534645338";"0.925631234685189";"0.940180534119078";"MMR"
"east of england";1;2006;"0.696";"0.9215";"0.919306544892252";"0.917615603010433";"0.926291805294943";"MMR"
"east of england";1;2007;"0.667125";"0.928";"0.931405826134005";"0.923621161979709";"0.918803348922393";"MMR"
"east of england";1;2008;"0.692925";"0.8895";"0.93974768925416";"0.934878762451823";"0.924653916069792";"MMR"
"east of england";1;2009;"0.69795";"0.9239";"0.936";"0.9438663741684";"0.935710050400237";"MMR"
"east of england";1;2010;"0.7086";"0.9306";"0.9527";"0.9523";"0.9448522296";"MMR"
"east of england";1;2011;"0.723225";"0.9448";"0.9568";"0.9638";"0.9562";"MMR"
"east of england";1;2012;"0.726075";"0.9643";"0.9707";"0.9736";"0.9709";"MMR"
"east of england";1;2013;"0.726";"0.9681";"0.9753";"0.9803";"0.9792";"MMR"
"east of england";1;2014;"0.7227";"0.968";"0.9775";"0.9838";"0.9823";"MMR"
"east of england";2;2005;"0";"0";"0.368113364620466";"0.744252610416437";"0.880353273155294";"MMR"
"east of england";2;2006;"0";"0";"0.370137626431335";"0.736226729240933";"0.878277803182012";"MMR"
"east of england";2;2007;"0";"0";"0.377304033501334";"0.74027525286267";"0.868806619354417";"MMR"
"east of england";2;2008;"0.0019";"0";"0.38847420085622";"0.754608067002668";"0.873584202103693";"MMR"
"east of england";2;2009;"0.0017";"0.0025";"0.3755";"0.77694840171244";"0.890498072932108";"MMR"
"east of england";2;2010;"0.0004";"0.0023";"0.39395";"0.751";"0.9168614606";"MMR"
"east of england";2;2011;"0.0013";"0.0005";"0.39715";"0.7879";"0.8862";"MMR"
"east of england";2;2012;"0.0013";"0.0018";"0.43945";"0.7943";"0.916";"MMR"
"east of england";2;2013;"0.0007";"0.0017";"0.43345";"0.8789";"0.9317";"MMR"
"east of england";2;2014;"0.0005";"0.001";"0.44205";"0.8669";"0.9403";"MMR"
"london";1;2005;"0.650625";"0.857";"0.868317226544881";"0.885625489659119";"0.89738532259642";"MMR"
"london";1;2006;"0.655875";"0.8675";"0.870063814216409";"0.876311849909788";"0.887451974168233";"MMR"
"london";1;2007;"0.5904";"0.8745";"0.891407339775656";"0.875765565740496";"0.8783899977447";"MMR"
"london";1;2008;"0.65355";"0.7872";"0.90968340132904";"0.901841789373958";"0.877247697173603";"MMR"
"london";1;2009;"0.65445";"0.8714";"0.8454";"0.92503933098536";"0.904554153403062";"MMR"
"london";1;2010;"0.6711";"0.8726";"0.93";"0.8708";"0.9290310002";"MMR"
"london";1;2011;"0.6849";"0.8948";"0.9357";"0.9499";"0.8774";"MMR"
"london";1;2012;"0.6885";"0.9132";"0.945";"0.9563";"0.9615";"MMR"
"london";1;2013;"0.688725";"0.918";"0.953";"0.9621";"0.9669";"MMR"
"london";1;2014;"0.6843";"0.9183";"0.9496";"0.964";"0.9699";"MMR"
"london";2;2005;"0";"0";"0.285655881751804";"0.571250690754517";"0.786109390451972";"MMR"
"london";2;2006;"0";"0";"0.281481896963362";"0.571311763503608";"0.758129649309246";"MMR"
"london";2;2007;"0.0106";"0";"0.307057032315825";"0.562963793926723";"0.758210701398286";"MMR"
"london";2;2008;"0.097";"0.0142";"0.324381928391125";"0.614114064631651";"0.747131776943229";"MMR"
