"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north east";"MMR";2;2014;0;0;0.455460276896905;0.88992453420288;0.9291622199
"north east";"MMR";2;2015;0;0;0.444166024575245;0.91092055379381;0.9363684072
"north east";"MMR";2;2016;0;0;0.441155759303775;0.88833204915049;0.9422991143
"north east";"MMR";2;2017;0;0;0.44417019772622;0.88231151860755;0.9242868059
"north east";"MMR";2;2018;0;0;0.44673988224852;0.88834039545244;0.9185960631
"north east";"MMR";2;2019;0;0;0.4491664873031;0.89347976449704;0.9143067059
"north west";"MMR";1;2005;0.708625;0.85;0.875689163250584;0.897088738308528;0.920775926759718
"north west";"MMR";1;2006;0.713875;0.873;0.889585469061666;0.892209993210269;0.906903357385344
"north west";"MMR";1;2007;0.663625;0.887;0.909061484718264;0.906937533868573;0.903273923191173
"north west";"MMR";1;2008;0.693175;0.877;0.92150996213304;0.924868831067748;0.91855813831255
"north west";"MMR";1;2009;0.695275;0.882;0.92090333057678;0.9366372073978;0.935454944091208
"north west";"MMR";1;2010;0.707575;0.9213701655;0.9235854877065;0.94014810537585;0.9467678596
"north west";"MMR";1;2011;0.720175;0.9218587236;0.947353724598;0.9478977247425;0.9530362497
"north west";"MMR";1;2012;0.724525;0.9438245374;0.94824331543025;0.9627135348792;0.960124155
"north west";"MMR";1;2013;0.721975;0.9591660682;0.96069791875714;0.96376648186025;0.9693545775
"north west";"MMR";1;2014;0.72745;0.9583972327;0.9651708849745;0.97029039886743;0.9697697311
"north west";"MMR";1;2015;0.724075;0.9499542364;0.9653987194296;0.9714063952748;0.9724331867
"north west";"MMR";1;2016;0.7359750872125;0.939019725;0.95967611682352;0.97282624002152;0.9727362756
"north west";"MMR";1;2017;0.7334596825;0.9459335659;0.95281609059835;0.96688743263584;0.9749101731
"north west";"MMR";1;2018;0.7315618690375;0.93922582;0.95472731095968;0.9597587312905;0.9686897932
"north west";"MMR";1;2019;0.729736384675;0.9341649841;0.95245250542202;0.9591525207624;0.9630510185
"north west";"MMR";2;2005;0;0;0.305984890197327;0.607700712524687;0.765195857721747
"north west";"MMR";2;2006;0;0;0.3113981459338;0.611969780394653;0.763730944482452
"north west";"MMR";2;2007;0;0;0.328652002914738;0.622796291867601;0.769096117122852
"north west";"MMR";2;2008;0;0;0.341361622512845;0.657304005829475;0.782702390181727
"north west";"MMR";2;2009;0;0;0.34390096104868;0.68272324502569;0.826070134258483
"north west";"MMR";2;2010;0;0;0.3970848649568;0.68780192209736;0.8580158917
"north west";"MMR";2;2011;0;0;0.4216998415338;0.7941697299136;0.8643985448
"north west";"MMR";2;2012;0;0;0.42783969159668;0.8433996830676;0.8785063384
"north west";"MMR";2;2013;0;0;0.423354621511675;0.85567938319336;0.906783876
"north west";"MMR";2;2014;0;0;0.41299204658118;0.84670924302335;0.9145782206
"north west";"MMR";2;2015;0;0;0.411155215399005;0.82598409316236;0.9074153285
"north west";"MMR";2;2016;0;0;0.414889896123395;0.82231043079801;0.8935353669
"north west";"MMR";2;2017;0;0;0.41644428330958;0.82977979224679;0.9029432643
"north west";"MMR";2;2018;0;0;0.41250371710428;0.83288856661916;0.8940629159
"north west";"MMR";2;2019;0;0;0.4091085440162;0.82500743420856;0.8894581019
"south east";"MMR";1;2005;0.701656698380165;0.823459671140495;0.830181653832862;0.864276284135903;0.889442436757873
"south east";"MMR";1;2006;0.708807363553719;0.854417862347107;0.846859568759632;0.848146213817351;0.868739377677703
"south east";"MMR";1;2007;0.644275;0.873486302809917;0.875430974057177;0.863965389870808;0.85295696577946
"south east";"MMR";1;2008;0.701275;0.855935581421487;0.89617368616867;0.89079200408184;0.868546179077174
"south east";"MMR";1;2009;0.701425;0.874486115438016;0.890954412144035;0.912758644254048;0.89490555350331
"south east";"MMR";1;2010;0.71425;0.9046251971;0.905981658581071;0.916553919612503;0.9171999509
"south east";"MMR";1;2011;0.7231;0.908371744;0.92848128602864;0.922891241272036;0.9234092437
"south east";"MMR";1;2012;0.726925;0.930849528;0.92533357897736;0.93819587894288;0.9295482538
"south east";"MMR";1;2013;0.7306;0.9362065928;0.93755896269096;0.9333540759824;0.9430531754
"south east";"MMR";1;2014;0.7276;0.9278877198;0.94105647223336;0.9407496026514;0.9361917128
"south east";"MMR";1;2015;0.726925;0.9214484445;0.93589716006665;0.94410827906;0.9419358378
"south east";"MMR";1;2016;0.7255292183875;0.928586182;0.93689573255273;0.94198301488512;0.9449862442
"south east";"MMR";1;2017;0.728267936275;0.9180779157;0.94110833468577;0.94570413516181;0.9443850221
"south east";"MMR";1;2018;0.7277829428125;0.9253811634;0.9414813563515;0.94731639885281;0.9486013502
"south east";"MMR";1;2019;0.7326836778625;0.9240878475;0.94616840681603;0.9530839988795;0.9511445547
"south east";"MMR";2;2005;0;0;0.301326945179797;0.605815827837167;0.723221476510067
"south east";"MMR";2;2006;0;0;0.304862629503217;0.602653890359594;0.728406670478739
"south east";"MMR";2;2007;0;0;0.323791555724626;0.609725259006433;0.7246048940238
"south east";"MMR";2;2008;0;0;0.34335232433166;0.647583111449253;0.733107200921526
"south east";"MMR";2;2009;0;0;0.348838626686475;0.68670464866332;0.778625840386261
"south east";"MMR";2;2010;0;0;0.38831338170036;0.69767725337295;0.8256638796
"south east";"MMR";2;2011;0;0;0.406469448234265;0.77662676340072;0.8388568635
"south east";"MMR";2;2012;0;0;0.40915313756974;0.81293889646853;0.8612917416
"south east";"MMR";2;2013;0;0;0.41269809772412;0.81830627513948;0.8785679201
"south east";"MMR";2;2014;0;0;0.406127720509585;0.82539619544824;0.8662992538
"south east";"MMR";2;2015;0;0;0.40878517985748;0.81225544101917;0.8675595916
"south east";"MMR";2;2016;0;0;0.415680549153855;0.81757035971496;0.8638258439
"south east";"MMR";2;2017;0;0;0.41649167865249;0.83136109830771;0.8618705036
"south east";"MMR";2;2018;0;0;0.424525361173515;0.83298335730498;0.8720875887
"south east";"MMR";2;2019;0;0;0.42668154581715;0.84905072234703;0.8739726758
"south west";"MMR";1;2005;0.70825;0.815;0.857210541854872;0.897338513648641;0.917078001380555
"south west";"MMR";1;2006;0.71125;0.872;0.86691225542956;0.881647523787177;0.90420148267341
"south west";"MMR";1;2007;0.6457;0.88;0.900606581039068;0.901945667883913;0.889450929782366
"south west";"MMR";1;2008;0.6838;0.894;0.9085148698753;0.919911967486984;0.913132807995387
"south west";"MMR";1;2009;0.69295;0.884;0.9176245130821;0.9277583642902;0.926076712739259
"south west";"MMR";1;2010;0.70105;0.9009937942;0.9197905118687;0.9335677100014;0.9339033457
"south west";"MMR";1;2011;0.71845;0.9062585325;0.9315209380444;0.94029595740416;0.9386588149
"south west";"MMR";1;2012;0.72115;0.9269476044;0.9347451382;0.9514673361034;0.9477408938
"south west";"MMR";1;2013;0.72175;0.9451766214;0.94764749918371;0.95685644154434;0.9564775162
"south west";"MMR";1;2014;0.72295;0.9520776809;0.9584691285539;0.96075730450878;0.9632317439
"south west";"MMR";1;2015;0.724;0.9472529886;0.96026996784375;0.9665838830134;0.9653589883
"south west";"MMR";1;2016;0.7339401085375;0.9394432279;0.95731739937068;0.96831619801456;0.9696924959
"south west";"MMR";1;2017;0.73487094025;0.9405069561;0.95276871125924;0.967715450279;0.9708029082
"south west";"MMR";1;2018;0.7338032553625;0.942989174;0.95487027504816;0.96506606997561;0.9712558762
"south west";"MMR";1;2019;0.7348828916875;0.9401420143;0.95484674255608;0.96812539538424;0.9703178418
"south west";"MMR";2;2005;0;0;0.300496087288086;0.609317556462272;0.767093222888901
"south west";"MMR";2;2006;0;0;0.31622923954129;0.600992174576172;0.78886270903971
"south west";"MMR";2;2007;0;0;0.319685125669551;0.63245847908258;0.778084120373086
